4.8695 4.6649
1.3191 4.1648
4.6286 3.8526
5.2303 3.8473
0.8402 3.4262
4.1141 4.5625
5.1009 3.554
3.2464 4.297
1.0755 4.0667
2.4032 4.3099
5.4343 3.6545
4.8087 4.209
0.8914 3.7833
4.9785 3.3115
5.3969 3.7852
1.22 4.3816
5.2243 3.7736
5.2227 3.6556
4.3745 4.5783
2.9663 4.4406
2.887 5.2207
4.5483 4.7165
1.1236 3.9137
5.2279 3.9325
0.9978 3.5297
5.0112 3.6284
2.5725 4.183
3.046 5.0863
3.0772 3.6755
4.6264 3.3732
3.0431 3.9411
5.0297 3.7052
5.5016 4.3861
4.3906 4.297
3.2991 3.8621
1.074 4.1335
4.6507 4.0042
5.2801 4.7934
2.9153 4.728
2.6326 3.7633
4.6893 3.692
3.0474 3.6727
0.7439 4.8127
5.1537 4.8411
4.6111 4.0127
2.8048 3.8963
4.5522 4.1678
3.1483 3.9113
5.0791 3.4657
4.9282 3.9499
3.4493 4.1313
4.7273 3.8379
2.8573 4.399
4.3926 4.1533
4.5073 3.5216
4.7392 3.9716
5.0274 3.8381
4.8146 3.442
4.5521 3.7759
2.6141 3.1797
2.6066 3.9517
0.8141 3.2563
4.6537 4.2913
4.4462 4.9346
2.8534 5.3293
1.1773 3.6904
0.8914 4.4429
4.9422 4.1038
0.8142 3.8529
4.9691 3.833
4.3906 3.8969
5.411 4.604
4.8276 3.7039
0.7065 4.2605
5.0626 3.6313
4.8279 3.5369
5.0647 5.0124
5.3321 3.396
4.5743 4.0088
5.1648 3.8095
2.7311 4.6347
2.9007 2.8574
0.9269 4.4083
4.9946 4.2551
5.0148 3.4669
4.4519 4.4939
0.7085 4.0475
1.1284 3.9776
4.7833 4.1393
4.8636 3.4217
0.9711 3.5234
3.0592 4.1316
4.9753 3.9264
1.1141 3.9701
5.6788 3.8696
5.4387 3.9973
2.6959 4.8074
2.7364 4.5815
5.619 3.5116
4.9336 4.5102
3.1473 4.2108
0.9505 4.3478
0.9835 4.303
5.1499 3.7874
1.1101 3.4328
1.1715 4.8598
2.433 3.7051
4.8676 3.5301
5.681 3.7783
6.0597 4.078
1.0364 4.6592
4.4735 4.4599
2.6661 4.3085
2.7896 3.7097
4.9175 3.3429
3.1301 4.5026
5.6539 3.0958
4.4295 4.8892
2.791 4.1953
2.9848 3.8471
1.2933 4.337
0.9233 4.8271
0.9209 4.0487
4.5902 4.1615
0.8405 3.4519
2.8033 3.982
0.9341 4.4742
4.4823 4.2472
0.8961 3.5827
4.2521 4.241
3.3022 3.8634
4.6544 4.3396
5.335 4.1573
3.4093 3.8329
3.0167 4.034
4.8591 3.7352
3.2298 4.0195
2.9132 2.8676
5.0074 4.1246
3.241 4.9437
1.2574 4.2291
4.9229 4.7889
2.9775 4.3913
4.2324 3.9024
5.1051 4.2718
0.914 3.9153
3.0363 3.1813
4.771 3.3184
5.0425 3.6957
4.9725 3.4162
5.5178 3.4334
4.9344 4.8818
2.6995 3.5901
5.0657 4.5774
5.3666 5.3308
4.238 3.5944
1.1121 3.9655
5.1226 3.9449
4.3711 3.7975
2.7855 4.4326
0.6362 4.3296
2.8827 3.7919
4.8853 4.8752
3.4325 3.6512
5.0546 4.4571
4.6912 3.746
3.4023 4.3836
2.571 4.8546
0.7789 3.9874
4.2962 4.2849
1.1306 5.0307
4.7435 3.6594
4.7483 3.0919
4.99 4.2965
5.7755 3.6202
4.7409 4.3232
5.6385 4.6387
3.2558 4.1026
4.3969 2.8885
5.0947 2.8286
1.1457 3.5577
4.3778 3.2731
3.2411 3.2491
4.5983 4.2679
5.7576 3.1199
1.1191 4.0024
3.4342 3.6964
3.4441 4.5417
5.5643 3.8877
5.1764 4.6755
4.6307 4.5734
5.4776 3.986
4.9418 4.1585
4.8552 5.1753
1.02 4.9039
4.2108 4.2573
4.6019 3.8716
5.0444 5.9051
4.9381 3.5844
3.1043 3.5634
3.1444 4.8476
5.0045 4.4958
1.0058 5.2801
1.2319 3.4429
5.3655 4.5036
3.0142 3.7981
2.977 4.925
4.8536 4.5951
4.6071 4.0021
5.0832 3.9761
5.035 4.6594
5.2726 4.0716
5.5764 3.5093
0.9096 4.821
3.8499 3.8766
3.1807 3.8465
4.8613 3.0802
1.0037 4.6592
5.2257 3.7373
2.3395 4.196
2.8012 3.4197
2.8815 4.7749
5.1987 4.2425
2.8496 3.7446
5.3334 4.4829
0.8825 3.6966
0.7545 3.8812
4.7497 4.4502
4.777 3.5114
2.8597 4.4242
0.718 4.5507
4.2151 3.4175
4.7699 3.778
5.6712 4.2441
1.1429 3.9456
5.1505 3.6195
4.8395 3.8562
4.5852 2.9428
3.4558 4.1837
1.1809 3.6185
5.2591 4.2244
1.1084 3.9317
5.2526 3.7098
1.4003 4.1109
2.6125 4.4548
4.4405 5.3379
4.8064 2.9576
0.9504 3.8763
5.002 3.7349
1.3527 4.3448
4.5371 4.6508
4.8721 4.6813
5.2752 4.2971
5.0079 3.2136
4.8833 4.5507
2.7078 4.2796
5.0975 4.3247
4.7364 3.9818
5.5104 3.9762
2.9029 3.8724
2.7022 4.9819
2.571 4.1271
4.9351 4.2194
2.6746 4.3524
2.6231 3.7855
2.7088 3.1142
5.4714 3.9949
3.0214 5.0949
4.6252 3.4239
4.4173 4.2865
4.6226 3.8628
3.0633 3.5005
1.2647 3.0975
5.0572 3.4671
4.5308 3.8119
